Team,,G,,PR,,Yds,,Avg,,KR,,Yds,,Avg
UTEP,,11,,6,,21,,3.5,,20,,389,,19.5
Purdue,,8,,7,,21,,3,,9,,128,,14.2
Ohio St.,,13,,9,,19,,2.1,,9,,296,,32.9
Charlotte,,10,,4,,18,,4.5,,23,,520,,22.6
UAB,,9,,8,,17,,2.1,,20,,380,,19
Army,,9,,5,,17,,3.4,,16,,332,,20.8
Georgia St.,,7,,5,,16,,3.2,,5,,76,,15.2
Arizona St.,,10,,8,,16,,2,,12,,275,,22.9
Cent. Michigan,,10,,4,,16,,4,,14,,244,,17.4
Florida,,10,,4,,16,,4,,10,,186,,18.6
South Alabama,,10,,3,,16,,5.3,,10,,194,,19.4
Houston,,9,,6,,15,,2.5,,8,,248,,31
Minnesota,,7,,4,,11,,2.8,,8,,183,,22.9
California,,10,,3,,10,,3.3,,22,,484,,22
UCLA,,14,,4,,9,,2.3,,25,,483,,19.3
Mississippi,,9,,4,,8,,2,,16,,422,,26.4
Tulane,,7,,3,,8,,2.7,,9,,207,,23
N. Mex. St.,,10,,5,,8,,1.6,,10,,132,,13.2
UTSA,,10,,7,,7,,1,,7,,97,,13.9
Tulsa,,6,,1,,4,,4,,18,,289,,16.1
BYU,,14,,6,,4,,0.7,,16,,270,,16.9
Hawaii,,9,,2,,3,,1.5,,24,,468,,19.5
Akron,,11,,2,,3,,1.5,,12,,229,,19.1
Notre Dame,,10,,9,,2,,0.2,,11,,241,,21.9
Arkansas,,8,,1,,2,,2,,12,,224,,18.7
Missouri,,10,,3,,2,,0.7,,12,,264,,22
Northwestern,,5,,3,,2,,0.7,,10,,166,,16.6
Marshall,,12,,10,,1,,0.1,,17,,407,,23.9
East Carolina,,13,,2,,0,,0,,21,,426,,20.3
Oregon St.,,12,,1,,0,,0,,33,,689,,20.9
