Team,,G,,Pts/G,,Yds/G,,PassYds,,RushYds,,Int,,IntTD
UMass,,6,,32.8,,408.2,,1273,,1176,,1,,0
N. Carolina,,5,,33,,466.8,,1225,,1109,,3,,0
Rice,,5,,33.8,,423.8,,1508,,611,,1,,0
North Texas,,5,,34,,400.8,,1362,,642,,3,,0
Hawaii,,4,,34.3,,417.3,,1033,,636,,2,,0
Charlotte,,5,,34.4,,430,,1206,,944,,2,,0
Toledo,,4,,35,,424,,782,,914,,3,,0
Kent St.,,5,,35.4,,482.8,,1277,,1137,,6,,0
Bowling Green,,5,,35.4,,511.4,,1404,,1153,,2,,0
Mississippi,,4,,35.8,,430,,803,,917,,3,,0
Baylor,,5,,36.2,,471.8,,1188,,1171,,1,,0
Memphis,,4,,36.3,,513.5,,1285,,769,,5,,1
Arizona St.,,5,,36.4,,483.6,,1468,,950,,2,,1
Nevada,,5,,36.8,,476.2,,1670,,711,,3,,0
Connecticut,,4,,37,,541.8,,1519,,648,,1,,0
Georgia Southern,,3,,38.3,,425.3,,498,,778,,1,,0
LA Monroe,,4,,39.5,,479.3,,971,,946,,4,,0
Kansas,,4,,39.8,,484.8,,1238,,701,,2,,0
Missouri,,4,,40,,452.5,,1031,,779,,2,,0
Coastal Car.,,4,,40.3,,392.3,,853,,716,,0,,0
Tulsa,,5,,40.4,,574.4,,1273,,1599,,4,,1
UCLA,,4,,43.3,,524.8,,869,,1230,,3,,1
San Jose St.,,6,,44.5,,507.5,,1302,,1743,,3,,1
UTEP,,5,,45.2,,501.8,,1165,,1344,,2,,1
Oregon St.,,5,,46.4,,490.2,,1440,,1011,,4,,1
East Carolina,,5,,50.6,,614.8,,1586,,1488,,2,,0
La Lafayette,,4,,53.8,,563.5,,1058,,1196,,2,,0
